loan_payment_id,loan_id,scheduled_amount,principal,interest,actual_amount,scheduled_date,paid_date
85,1,777.74,772.34,5.4,777.74,2030-07-10,2030-07-10
86,1,777.74,772.34,5.4,777.74,2030-08-09,2030-08-09
87,1,777.74,772.34,5.4,777.74,2030-09-08,2030-09-08
88,1,777.74,772.34,5.4,777.74,2030-10-08,2030-10-08
89,1,777.74,772.34,5.4,NULL,2030-11-07,NULL
90,1,777.74,772.34,5.4,NULL,2030-12-07,NULL
91,1,777.74,772.34,5.4,777.74,2031-01-06,2031-01-06
92,1,777.74,772.34,5.4,NULL,2031-02-05,NULL
93,1,777.74,772.34,5.4,777.74,2031-03-07,2031-03-07
94,1,777.74,772.34,5.4,777.74,2031-04-06,2031-04-06
95,1,777.74,772.34,5.4,777.74,2031-05-06,2031-05-06
96,1,777.74,772.34,5.4,777.74,2031-06-05,2031-06-05
97,1,777.74,772.34,5.4,777.74,2031-07-05,2031-07-05
98,1,777.74,772.34,5.4,777.74,2031-08-04,2031-08-04
99,1,777.74,772.34,5.4,777.74,2031-09-03,2031-09-03
100,1,777.74,772.34,5.4,777.74,2031-10-03,2031-10-03
101,1,777.74,772.34,5.4,777.74,2031-11-02,2031-11-02
102,1,777.74,772.34,5.4,777.74,2031-12-02,2031-12-02
103,1,777.74,772.34,5.4,777.74,2032-01-01,2032-01-01
104,1,777.74,772.34,5.4,NULL,2032-01-31,NULL
105,1,777.74,772.34,5.4,777.74,2032-03-01,2032-03-01
106,1,777.74,772.34,5.4,777.74,2032-03-31,2032-03-31
107,1,777.74,772.34,5.4,777.74,2032-04-30,2032-04-30
108,1,777.74,772.34,5.4,777.74,2032-05-30,2032-05-30
109,1,777.74,772.34,5.4,777.74,2032-06-29,2032-06-29
110,1,777.74,772.34,5.4,777.74,2032-07-29,2032-07-29
111,1,777.74,772.34,5.4,777.74,2032-08-28,2032-08-28
112,1,777.74,772.34,5.4,777.74,2032-09-27,2032-09-27
113,1,777.74,772.34,5.4,777.74,2032-10-27,2032-10-27
114,1,777.74,772.34,5.4,777.74,2032-11-26,2032-11-26
115,1,777.74,772.34,5.4,777.74,2032-12-26,2032-12-26
116,1,777.74,772.34,5.4,777.74,2033-01-25,2033-01-25
117,1,777.74,772.34,5.4,777.74,2033-02-24,2033-02-24
118,1,777.74,772.34,5.4,777.74,2033-03-26,2033-03-26
119,1,777.74,772.34,5.4,777.74,2033-04-25,2033-04-25
120,1,777.74,772.34,5.4,777.74,2033-05-25,2033-05-25
121,1,777.74,772.34,5.4,777.74,2033-06-24,2033-06-24
122,1,777.74,772.34,5.4,NULL,2033-07-24,NULL
123,1,777.74,772.34,5.4,NULL,2033-08-23,NULL
124,1,777.74,772.34,5.4,777.74,2033-09-22,2033-09-22
125,1,777.74,772.34,5.4,777.74,2033-10-22,2033-10-22
126,1,777.74,772.34,5.4,777.74,2033-11-21,2033-11-21
127,1,777.74,772.34,5.4,777.74,2033-12-21,2033-12-21
128,1,777.74,772.34,5.4,777.74,2034-01-20,2034-01-20
129,1,777.74,772.34,5.4,777.74,2034-02-19,2034-02-19
130,1,777.74,772.34,5.4,777.74,2034-03-21,2034-03-21
131,1,777.74,772.34,5.4,777.74,2034-04-20,2034-04-20
132,1,777.74,772.34,5.4,NULL,2034-05-20,NULL
133,1,777.74,772.34,5.4,777.74,2034-06-19,2034-06-19
134,1,777.74,772.34,5.4,777.74,2034-07-19,2034-07-19
135,1,777.74,772.34,5.4,777.74,2034-08-18,2034-08-18
136,1,777.74,772.34,5.4,777.74,2034-09-17,2034-09-17
137,1,777.74,772.34,5.4,777.74,2034-10-17,2034-10-17
138,1,777.74,772.34,5.4,777.74,2034-11-16,2034-11-16
139,1,777.74,772.34,5.4,777.74,2034-12-16,2034-12-16
140,1,777.74,772.34,5.4,777.74,2035-01-15,2035-01-15
141,1,777.74,772.34,5.4,777.74,2035-02-14,2035-02-14
142,1,777.74,772.34,5.4,777.74,2035-03-16,2035-03-16
143,1,777.74,772.34,5.4,777.74,2035-04-15,2035-04-15
144,1,777.74,772.34,5.4,777.74,2035-05-15,2035-05-15
145,1,777.74,772.34,5.4,777.74,2035-06-14,2035-06-14
146,1,777.74,772.34,5.4,NULL,2035-07-14,NULL
147,1,777.74,772.34,5.4,777.74,2035-08-13,2035-08-13
148,1,777.74,772.34,5.4,777.74,2035-09-12,2035-09-12
149,1,777.74,772.34,5.4,NULL,2035-10-12,NULL
150,1,777.74,772.34,5.4,777.74,2035-11-11,2035-11-11
151,1,777.74,772.34,5.4,777.74,2035-12-11,2035-12-11
152,1,777.74,772.34,5.4,777.74,2036-01-10,2036-01-10
153,1,777.74,772.34,5.4,777.74,2036-02-09,2036-02-09
154,1,777.74,772.34,5.4,777.74,2036-03-10,2036-03-10
155,1,777.74,772.34,5.4,777.74,2036-04-09,2036-04-09
156,1,777.74,772.34,5.4,777.74,2036-05-09,2036-05-09
157,1,777.74,772.34,5.4,777.74,2036-06-08,2036-06-08
158,1,777.74,772.34,5.4,777.74,2036-07-08,2036-07-08
159,1,777.74,772.34,5.4,777.74,2036-08-07,2036-08-07
160,1,777.74,772.34,5.4,777.74,2036-09-06,2036-09-06
161,1,777.74,772.34,5.4,777.74,2036-10-06,2036-10-06
162,1,777.74,772.34,5.4,777.74,2036-11-05,2036-11-05
163,1,777.74,772.34,5.4,777.74,2036-12-05,2036-12-05
164,1,777.74,772.34,5.4,777.74,2037-01-04,2037-01-04
165,1,777.74,772.34,5.4,777.74,2037-02-03,2037-02-03
166,1,777.74,772.34,5.4,777.74,2037-03-05,2037-03-05
167,1,777.74,772.34,5.4,777.74,2037-04-04,2037-04-04
168,1,777.74,772.34,5.4,NULL,2037-05-04,NULL
169,1,777.74,772.34,5.4,777.74,2037-06-03,2037-06-03
170,1,777.74,772.34,5.4,777.74,2037-07-03,2037-07-03
171,1,777.74,772.34,5.4,777.74,2037-08-02,2037-08-02
172,1,777.74,772.34,5.4,NULL,2037-09-01,NULL
173,1,777.74,772.34,5.4,777.74,2037-10-01,2037-10-01
174,1,777.74,772.34,5.4,777.74,2037-10-31,2037-10-31
175,1,777.74,772.34,5.4,777.74,2037-11-30,2037-11-30
176,1,777.74,772.34,5.4,777.74,2037-12-30,2037-12-30
177,1,777.74,772.34,5.4,777.74,2038-01-29,2038-01-29
178,1,777.74,772.34,5.4,777.74,2038-02-28,2038-02-28
179,1,777.74,772.34,5.4,777.74,2038-03-30,2038-03-30
180,1,777.74,772.34,5.4,777.74,2038-04-29,2038-04-29
181,1,777.74,772.34,5.4,777.74,2038-05-29,2038-05-29
182,1,777.74,772.34,5.4,777.74,2038-06-28,2038-06-28
183,1,777.74,772.34,5.4,777.74,2038-07-28,2038-07-28
184,1,777.74,772.34,5.4,777.74,2038-08-27,2038-08-27
185,1,777.74,772.34,5.4,777.74,2038-09-26,2038-09-26
186,1,777.74,772.34,5.4,777.74,2038-10-26,2038-10-26
187,1,777.74,772.34,5.4,777.74,2038-11-25,2038-11-25
188,1,777.74,772.34,5.4,777.74,2038-12-25,2038-12-25
189,1,777.74,772.34,5.4,777.74,2039-01-24,2039-01-24
190,1,777.74,772.34,5.4,NULL,2039-02-23,NULL
191,1,777.74,772.34,5.4,777.74,2039-03-25,2039-03-25
192,1,777.74,772.34,5.4,777.74,2039-04-24,2039-04-24
193,1,777.74,772.34,5.4,777.74,2039-05-24,2039-05-24
194,1,777.74,772.34,5.4,777.74,2039-06-23,2039-06-23
195,1,777.74,772.34,5.4,NULL,2039-07-23,NULL
196,1,777.74,772.34,5.4,777.74,2039-08-22,2039-08-22
197,1,777.74,772.34,5.4,777.74,2039-09-21,2039-09-21
198,1,777.74,772.34,5.4,777.74,2039-10-21,2039-10-21
199,1,777.74,772.34,5.4,777.74,2039-11-20,2039-11-20
200,1,777.74,772.34,5.4,777.74,2039-12-20,2039-12-20
201,1,777.74,772.34,5.4,777.74,2040-01-19,2040-01-19
202,1,777.74,772.34,5.4,777.74,2040-02-18,2040-02-18
203,1,777.74,772.34,5.4,777.74,2040-03-19,2040-03-19
204,1,777.74,772.34,5.4,777.74,2040-04-18,2040-04-18
205,1,777.74,772.34,5.4,NULL,2040-05-18,NULL
206,1,777.74,772.34,5.4,NULL,2040-06-17,NULL
207,1,777.74,772.34,5.4,777.74,2040-07-17,2040-07-17
208,1,777.74,772.34,5.4,777.74,2040-08-16,2040-08-16
209,1,777.74,772.34,5.4,777.74,2040-09-15,2040-09-15
210,1,777.74,772.34,5.4,NULL,2040-10-15,NULL
211,1,777.74,772.34,5.4,NULL,2040-11-14,NULL
212,1,777.74,772.34,5.4,777.74,2040-12-14,2040-12-14
213,1,777.74,772.34,5.4,NULL,2041-01-13,NULL
214,1,777.74,772.34,5.4,777.74,2041-02-12,2041-02-12
215,1,777.74,772.34,5.4,777.74,2041-03-14,2041-03-14
216,1,777.74,772.34,5.4,777.74,2041-04-13,2041-04-13
217,1,777.74,772.34,5.4,NULL,2041-05-13,NULL
218,1,777.74,772.34,5.4,777.74,2041-06-12,2041-06-12
219,1,777.74,772.34,5.4,777.74,2041-07-12,2041-07-12
220,1,777.74,772.34,5.4,777.74,2041-08-11,2041-08-11
221,1,777.74,772.34,5.4,777.74,2041-09-10,2041-09-10
222,1,777.74,772.34,5.4,777.74,2041-10-10,2041-10-10
223,1,777.74,772.34,5.4,777.74,2041-11-09,2041-11-09
224,1,777.74,772.34,5.4,777.74,2041-12-09,2041-12-09
225,1,777.74,772.34,5.4,777.74,2042-01-08,2042-01-08
226,1,777.74,772.34,5.4,NULL,2042-02-07,NULL
227,1,777.74,772.34,5.4,777.74,2042-03-09,2042-03-09
228,1,777.74,772.34,5.4,NULL,2042-04-08,NULL
229,1,777.74,772.34,5.4,777.74,2042-05-08,2042-05-08
230,1,777.74,772.34,5.4,777.74,2042-06-07,2042-06-07
231,1,777.74,772.34,5.4,777.74,2042-07-07,2042-07-07
232,1,777.74,772.34,5.4,777.74,2042-08-06,2042-08-06
233,1,777.74,772.34,5.4,NULL,2042-09-05,NULL
234,1,777.74,772.34,5.4,777.74,2042-10-05,2042-10-05
235,1,777.74,772.34,5.4,777.74,2042-11-04,2042-11-04
236,1,777.74,772.34,5.4,777.74,2042-12-04,2042-12-04
237,1,777.74,772.34,5.4,777.74,2043-01-03,2043-01-03
238,1,777.74,772.34,5.4,777.74,2043-02-02,2043-02-02
239,1,777.74,772.34,5.4,777.74,2043-03-04,2043-03-04
240,1,777.74,772.34,5.4,777.74,2043-04-03,2043-04-03
241,2,4811.92,4784.57,27.35,NULL,2018-12-18,NULL
242,2,4811.92,4784.57,27.35,NULL,2019-01-17,NULL
243,2,4811.92,4784.57,27.35,4811.92,2019-02-16,2019-02-16
244,2,4811.92,4784.57,27.35,4811.92,2019-03-18,2019-03-18
245,2,4811.92,4784.57,27.35,4811.92,2019-04-17,2019-04-17
246,2,4811.92,4784.57,27.35,4811.92,2019-05-17,2019-05-17
247,2,4811.92,4784.57,27.35,NULL,2019-06-16,NULL
248,2,4811.92,4784.57,27.35,4811.92,2019-07-16,2019-07-16
249,2,4811.92,4784.57,27.35,4811.92,2019-08-15,2019-08-15
250,2,4811.92,4784.57,27.35,4811.92,2019-09-14,2019-09-14
251,2,4811.92,4784.57,27.35,4811.92,2019-10-14,2019-10-14
252,2,4811.92,4784.57,27.35,4811.92,2019-11-13,2019-11-13
253,2,4811.92,4784.57,27.35,4811.92,2019-12-13,2019-12-13
254,2,4811.92,4784.57,27.35,4811.92,2020-01-12,2020-01-12
255,2,4811.92,4784.57,27.35,4811.92,2020-02-11,2020-02-11
256,2,4811.92,4784.57,27.35,4811.92,2020-03-12,2020-03-12
257,2,4811.92,4784.57,27.35,4811.92,2020-04-11,2020-04-11
258,2,4811.92,4784.57,27.35,4811.92,2020-05-11,2020-05-11
259,2,4811.92,4784.57,27.35,4811.92,2020-06-10,2020-06-10
260,2,4811.92,4784.57,27.35,4811.92,2020-07-10,2020-07-10
261,2,4811.92,4784.57,27.35,4811.92,2020-08-09,2020-08-09
262,2,4811.92,4784.57,27.35,4811.92,2020-09-08,2020-09-08
263,2,4811.92,4784.57,27.35,4811.92,2020-10-08,2020-10-08
264,2,4811.92,4784.57,27.35,4811.92,2020-11-07,2020-11-07
265,2,4811.92,4784.57,27.35,4811.92,2020-12-07,2020-12-07
266,2,4811.92,4784.57,27.35,NULL,2021-01-06,NULL
267,2,4811.92,4784.57,27.35,4811.92,2021-02-05,2021-02-05
268,2,4811.92,4784.57,27.35,4811.92,2021-03-07,2021-03-07
269,2,4811.92,4784.57,27.35,NULL,2021-04-06,NULL
270,2,4811.92,4784.57,27.35,4811.92,2021-05-06,2021-05-06
271,2,4811.92,4784.57,27.35,4811.92,2021-06-05,2021-06-05
272,2,4811.92,4784.57,27.35,4811.92,2021-07-05,2021-07-05
273,2,4811.92,4784.57,27.35,NULL,2021-08-04,NULL
274,2,4811.92,4784.57,27.35,4811.92,2021-09-03,2021-09-03
275,2,4811.92,4784.57,27.35,NULL,2021-10-03,NULL
276,2,4811.92,4784.57,27.35,4811.92,2021-11-02,2021-11-02
277,3,3339.12,3309.12,30.0,NULL,2024-07-22,NULL
278,3,3339.12,3309.12,30.0,3339.12,2024-08-21,2024-08-21
279,3,3339.12,3309.12,30.0,3339.12,2024-09-20,2024-09-20
280,3,3339.12,3309.12,30.0,3339.12,2024-10-20,2024-10-20
281,3,3339.12,3309.12,30.0,3339.12,2024-11-19,2024-11-19
282,3,3339.12,3309.12,30.0,NULL,2024-12-19,NULL
283,3,3339.12,3309.12,30.0,3339.12,2025-01-18,2025-01-18
284,3,3339.12,3309.12,30.0,3339.12,2025-02-17,2025-02-17
285,3,3339.12,3309.12,30.0,3339.12,2025-03-19,2025-03-19
286,3,3339.12,3309.12,30.0,3339.12,2025-04-18,2025-04-18
287,3,3339.12,3309.12,30.0,3339.12,2025-05-18,2025-05-18
288,3,3339.12,3309.12,30.0,3339.12,2025-06-17,2025-06-17
289,3,3339.12,3309.12,30.0,3339.12,2025-07-17,2025-07-17
290,3,3339.12,3309.12,30.0,3339.12,2025-08-16,2025-08-16
291,3,3339.12,3309.12,30.0,3339.12,2025-09-15,2025-09-15
292,3,3339.12,3309.12,30.0,3339.12,2025-10-15,2025-10-15
293,3,3339.12,3309.12,30.0,3339.12,2025-11-14,2025-11-14
294,3,3339.12,3309.12,30.0,3339.12,2025-12-14,2025-12-14
295,3,3339.12,3309.12,30.0,3339.12,2026-01-13,2026-01-13
296,3,3339.12,3309.12,30.0,3339.12,2026-02-12,2026-02-12
297,3,3339.12,3309.12,30.0,3339.12,2026-03-14,2026-03-14
298,3,3339.12,3309.12,30.0,3339.12,2026-04-13,2026-04-13
299,3,3339.12,3309.12,30.0,3339.12,2026-05-13,2026-05-13
300,3,3339.12,3309.12,30.0,3339.12,2026-06-12,2026-06-12
301,3,3339.12,3309.12,30.0,NULL,2026-07-12,NULL
302,3,3339.12,3309.12,30.0,3339.12,2026-08-11,2026-08-11
303,3,3339.12,3309.12,30.0,NULL,2026-09-10,NULL
304,3,3339.12,3309.12,30.0,3339.12,2026-10-10,2026-10-10
305,3,3339.12,3309.12,30.0,NULL,2026-11-09,NULL
306,3,3339.12,3309.12,30.0,3339.12,2026-12-09,2026-12-09
307,3,3339.12,3309.12,30.0,3339.12,2027-01-08,2027-01-08
308,3,3339.12,3309.12,30.0,3339.12,2027-02-07,2027-02-07
309,3,3339.12,3309.12,30.0,3339.12,2027-03-09,2027-03-09
310,3,3339.12,3309.12,30.0,3339.12,2027-04-08,2027-04-08
311,3,3339.12,3309.12,30.0,3339.12,2027-05-08,2027-05-08
312,3,3339.12,3309.12,30.0,NULL,2027-06-07,NULL
313,4,4693.61,4666.16,27.45,NULL,2019-04-08,NULL
314,4,4693.61,4666.16,27.45,4693.61,2019-05-08,2019-05-08
315,4,4693.61,4666.16,27.45,4693.61,2019-06-07,2019-06-07
316,4,4693.61,4666.16,27.45,4693.61,2019-07-07,2019-07-07
317,4,4693.61,4666.16,27.45,4693.61,2019-08-06,2019-08-06
318,4,4693.61,4666.16,27.45,NULL,2019-09-05,NULL
319,4,4693.61,4666.16,27.45,4693.61,2019-10-05,2019-10-05
320,4,4693.61,4666.16,27.45,4693.61,2019-11-04,2019-11-04
321,4,4693.61,4666.16,27.45,4693.61,2019-12-04,2019-12-04
322,4,4693.61,4666.16,27.45,NULL,2020-01-03,NULL
323,4,4693.61,4666.16,27.45,4693.61,2020-02-02,2020-02-02
324,4,4693.61,4666.16,27.45,4693.61,2020-03-03,2020-03-03
325,4,4693.61,4666.16,27.45,4693.61,2020-04-02,2020-04-02
326,4,4693.61,4666.16,27.45,NULL,2020-05-02,NULL
327,4,4693.61,4666.16,27.45,4693.61,2020-06-01,2020-06-01
328,4,4693.61,4666.16,27.45,NULL,2020-07-01,NULL
329,4,4693.61,4666.16,27.45,NULL,2020-07-31,NULL
330,4,4693.61,4666.16,27.45,4693.61,2020-08-30,2020-08-30
331,4,4693.61,4666.16,27.45,4693.61,2020-09-29,2020-09-29
332,4,4693.61,4666.16,27.45,4693.61,2020-10-29,2020-10-29
333,4,4693.61,4666.16,27.45,4693.61,2020-11-28,2020-11-28
334,4,4693.61,4666.16,27.45,4693.61,2020-12-28,2020-12-28
335,4,4693.61,4666.16,27.45,4693.61,2021-01-27,2021-01-27
336,4,4693.61,4666.16,27.45,4693.61,2021-02-26,2021-02-26
337,4,4693.61,4666.16,27.45,4693.61,2021-03-28,2021-03-28
338,4,4693.61,4666.16,27.45,4693.61,2021-04-27,2021-04-27
339,4,4693.61,4666.16,27.45,NULL,2021-05-27,NULL
340,4,4693.61,4666.16,27.45,4693.61,2021-06-26,2021-06-26
341,4,4693.61,4666.16,27.45,4693.61,2021-07-26,2021-07-26
342,4,4693.61,4666.16,27.45,4693.61,2021-08-25,2021-08-25
343,4,4693.61,4666.16,27.45,4693.61,2021-09-24,2021-09-24
344,4,4693.61,4666.16,27.45,4693.61,2021-10-24,2021-10-24
345,4,4693.61,4666.16,27.45,4693.61,2021-11-23,2021-11-23
346,4,4693.61,4666.16,27.45,NULL,2021-12-23,NULL
347,4,4693.61,4666.16,27.45,4693.61,2022-01-22,2022-01-22
348,4,4693.61,4666.16,27.45,4693.61,2022-02-21,2022-02-21
349,5,344.25,343.21,1.04,344.25,2022-04-29,2022-04-29
350,5,344.25,343.21,1.04,344.25,2022-05-29,2022-05-29
351,5,344.25,343.21,1.04,344.25,2022-06-28,2022-06-28
352,5,344.25,343.21,1.04,344.25,2022-07-28,2022-07-28
353,5,344.25,343.21,1.04,NULL,2022-08-27,NULL
354,5,344.25,343.21,1.04,344.25,2022-09-26,2022-09-26
355,5,344.25,343.21,1.04,344.25,2022-10-26,2022-10-26
356,5,344.25,343.21,1.04,344.25,2022-11-25,2022-11-25
357,5,344.25,343.21,1.04,NULL,2022-12-25,NULL
358,5,344.25,343.21,1.04,344.25,2023-01-24,2023-01-24
359,5,344.25,343.21,1.04,344.25,2023-02-23,2023-02-23
360,5,344.25,343.21,1.04,344.25,2023-03-25,2023-03-25
361,5,344.25,343.21,1.04,344.25,2023-04-24,2023-04-24
362,5,344.25,343.21,1.04,NULL,2023-05-24,NULL
363,5,344.25,343.21,1.04,344.25,2023-06-23,2023-06-23
364,5,344.25,343.21,1.04,NULL,2023-07-23,NULL
365,5,344.25,343.21,1.04,344.25,2023-08-22,2023-08-22
366,5,344.25,343.21,1.04,344.25,2023-09-21,2023-09-21
367,5,344.25,343.21,1.04,344.25,2023-10-21,2023-10-21
368,5,344.25,343.21,1.04,344.25,2023-11-20,2023-11-20
369,5,344.25,343.21,1.04,344.25,2023-12-20,2023-12-20
370,5,344.25,343.21,1.04,NULL,2024-01-19,NULL
371,5,344.25,343.21,1.04,344.25,2024-02-18,2024-02-18
372,5,344.25,343.21,1.04,344.25,2024-03-19,2024-03-19
373,5,344.25,343.21,1.04,NULL,2024-04-18,NULL
374,5,344.25,343.21,1.04,NULL,2024-05-18,NULL
375,5,344.25,343.21,1.04,344.25,2024-06-17,2024-06-17
376,5,344.25,343.21,1.04,NULL,2024-07-17,NULL
377,5,344.25,343.21,1.04,344.25,2024-08-16,2024-08-16
378,5,344.25,343.21,1.04,344.25,2024-09-15,2024-09-15
379,5,344.25,343.21,1.04,NULL,2024-10-15,NULL
380,5,344.25,343.21,1.04,NULL,2024-11-14,NULL
381,5,344.25,343.21,1.04,344.25,2024-12-14,2024-12-14
382,5,344.25,343.21,1.04,344.25,2025-01-13,2025-01-13
383,5,344.25,343.21,1.04,344.25,2025-02-12,2025-02-12
384,5,344.25,343.21,1.04,344.25,2025-03-14,2025-03-14
385,5,344.25,343.21,1.04,344.25,2025-04-13,2025-04-13
386,5,344.25,343.21,1.04,344.25,2025-05-13,2025-05-13
387,5,344.25,343.21,1.04,344.25,2025-06-12,2025-06-12
388,5,344.25,343.21,1.04,344.25,2025-07-12,2025-07-12
389,5,344.25,343.21,1.04,344.25,2025-08-11,2025-08-11
390,5,344.25,343.21,1.04,344.25,2025-09-10,2025-09-10
391,5,344.25,343.21,1.04,NULL,2025-10-10,NULL
392,5,344.25,343.21,1.04,344.25,2025-11-09,2025-11-09
393,5,344.25,343.21,1.04,NULL,2025-12-09,NULL
394,5,344.25,343.21,1.04,NULL,2026-01-08,NULL
395,5,344.25,343.21,1.04,344.25,2026-02-07,2026-02-07
396,5,344.25,343.21,1.04,344.25,2026-03-09,2026-03-09
397,5,344.25,343.21,1.04,NULL,2026-04-08,NULL
398,5,344.25,343.21,1.04,NULL,2026-05-08,NULL
399,5,344.25,343.21,1.04,344.25,2026-06-07,2026-06-07
400,5,344.25,343.21,1.04,344.25,2026-07-07,2026-07-07
401,5,344.25,343.21,1.04,344.25,2026-08-06,2026-08-06
402,5,344.25,343.21,1.04,344.25,2026-09-05,2026-09-05
403,5,344.25,343.21,1.04,NULL,2026-10-05,NULL
404,5,344.25,343.21,1.04,344.25,2026-11-04,2026-11-04
405,5,344.25,343.21,1.04,344.25,2026-12-04,2026-12-04
406,5,344.25,343.21,1.04,344.25,2027-01-03,2027-01-03
