transaction_id,type_id,loan_payment_id,employee_id,from_account_id,to_account_id,amount,transaction_date
39,4,9685,232,228,NULL,459.69,2019-09-05
40,2,NULL,1071,755,NULL,67.44,2021-11-28
41,2,NULL,NULL,698,NULL,122.97,2023-12-22
42,2,NULL,247,1011,NULL,186.54,2015-12-04
43,1,NULL,497,1449,NULL,1045.47,2017-09-09
44,2,NULL,NULL,1948,NULL,36.06,2022-12-04
45,3,NULL,NULL,2020,2320,1225.78,2018-11-15
46,2,NULL,NULL,169,NULL,74.94,2019-11-08
47,3,NULL,NULL,1983,327,1209.94,2018-12-19
48,3,NULL,NULL,2280,213,50.0,2021-11-18
49,1,NULL,253,1625,NULL,4073.31,2015-03-01
50,3,NULL,NULL,2139,1505,638.77,2015-05-18
51,3,NULL,NULL,511,1750,1917.95,2017-09-13
52,1,NULL,123,1155,NULL,4605.32,2017-01-28
53,4,15947,NULL,674,NULL,671.02,2027-05-21
54,1,NULL,229,790,NULL,1294.64,2023-07-15
55,1,NULL,253,438,NULL,2611.36,2016-01-25
56,2,NULL,NULL,2395,NULL,68.79,2023-08-19
57,2,NULL,NULL,669,NULL,29.82,2022-12-09
58,1,NULL,179,1211,NULL,1869.84,2020-02-03
59,3,NULL,NULL,368,1160,655.16,2022-08-14
60,1,NULL,253,1409,NULL,5489.82,2016-10-15
61,1,NULL,389,188,NULL,4045.4,2018-05-11
62,2,NULL,NULL,864,NULL,574.53,2020-05-22
63,1,NULL,412,1446,NULL,3626.2,2019-10-15
64,2,NULL,728,2387,NULL,1010.63,2017-11-03
65,2,NULL,NULL,681,NULL,548.42,2016-12-17
66,2,NULL,NULL,748,NULL,77.09,2017-02-24
67,1,NULL,667,2172,NULL,100.0,2022-05-28
68,2,NULL,770,414,NULL,1860.51,2023-08-25
69,2,NULL,NULL,1864,NULL,386.09,2022-11-18
70,3,NULL,NULL,534,1195,1723.62,2019-09-19
71,1,NULL,902,618,NULL,100.0,2023-01-21
72,3,NULL,NULL,145,8,723.35,2018-06-13
73,3,NULL,NULL,1126,1919,1280.33,2020-12-13
74,2,NULL,NULL,2354,NULL,134.23,2017-11-17
75,3,NULL,NULL,1873,2470,3217.6,2017-12-10
76,3,NULL,NULL,2172,1499,2008.81,2016-02-18
77,1,NULL,902,477,NULL,2040.49,2018-06-28
78,1,NULL,NULL,765,NULL,407.44,2017-06-18
79,2,NULL,NULL,2350,NULL,400.24,2021-05-07
80,4,26273,NULL,1813,NULL,630.43,2020-01-25
81,4,13398,NULL,1149,NULL,164.05,2041-12-10
82,1,NULL,642,1486,NULL,4093.44,2016-06-08
83,2,NULL,NULL,2199,NULL,138.22,2021-08-27
84,2,NULL,NULL,1773,NULL,581.82,2016-06-03
85,2,NULL,163,791,NULL,483.78,2017-08-25
86,4,21351,NULL,1849,NULL,834.14,2025-01-22
87,1,NULL,1168,158,NULL,2878.41,2017-02-15
88,2,NULL,795,2113,NULL,781.89,2015-07-26
89,3,NULL,NULL,564,1250,2606.55,2022-11-10
90,1,NULL,331,993,NULL,1508.38,2019-03-03
91,1,NULL,629,130,NULL,3064.96,2020-12-25
92,2,NULL,NULL,1289,NULL,165.44,2021-06-25
93,3,NULL,NULL,535,2047,1407.1,2018-09-18
94,2,NULL,NULL,2079,NULL,149.85,2022-02-11
95,3,NULL,NULL,2074,1535,1871.24,2022-04-16
96,1,NULL,248,1117,NULL,1856.95,2019-04-15
97,4,6857,NULL,1793,NULL,1205.35,2024-07-11
98,3,NULL,20,364,1113,273.45,2022-07-15
99,3,NULL,NULL,2439,136,1612.68,2020-08-15
100,1,NULL,1193,617,NULL,1839.6,2016-09-15
101,3,NULL,NULL,1048,2172,1226.34,2017-02-14
102,1,NULL,654,522,NULL,3036.64,2019-09-15
103,2,NULL,NULL,147,NULL,344.58,2019-04-05
104,2,NULL,3,863,NULL,110.63,2023-06-30
105,1,NULL,545,2275,NULL,4090.61,2016-01-15
106,1,NULL,698,286,NULL,4233.8,2021-03-15
107,1,NULL,444,2487,NULL,4487.43,2017-10-28
108,3,NULL,NULL,2367,516,883.24,2021-01-13
109,1,NULL,944,463,NULL,4669.42,2018-06-15
110,1,NULL,986,2185,NULL,1462.96,2018-03-01
111,3,NULL,1183,81,108,629.43,2015-02-15
112,4,21937,NULL,465,NULL,356.93,2026-06-19
113,1,NULL,715,1824,NULL,2427.12,2020-04-28
114,3,NULL,NULL,2384,2223,1520.62,2023-12-10
115,1,NULL,444,611,NULL,3915.92,2020-01-31
116,2,NULL,913,181,NULL,71.88,2023-08-05
117,4,833,NULL,1722,NULL,1617.19,2025-09-07
118,4,12077,NULL,1595,NULL,1404.66,2028-09-29
119,1,NULL,757,358,NULL,3289.91,2022-09-14
120,4,22764,NULL,1482,NULL,1465.95,2021-02-26
121,2,NULL,NULL,1919,NULL,109.51,2015-09-11
122,1,NULL,247,714,NULL,3547.86,2015-12-07
123,2,NULL,NULL,1069,NULL,435.8,2019-08-02
124,2,NULL,NULL,1198,NULL,471.77,2020-07-10
125,2,NULL,NULL,1033,NULL,386.69,2021-08-27
126,1,NULL,329,1313,NULL,6114.8,2016-04-05
127,1,NULL,842,905,NULL,2076.18,2023-01-30
128,2,NULL,NULL,197,NULL,166.08,2015-05-29
129,2,NULL,NULL,218,NULL,126.94,2016-10-28
130,4,9387,NULL,1910,NULL,1781.69,2024-12-05
131,1,NULL,20,2015,NULL,3987.48,2022-12-15
132,1,NULL,1167,2170,NULL,2652.56,2017-05-15
133,1,NULL,265,160,NULL,1835.15,2021-01-29
134,1,NULL,3,809,NULL,3545.17,2016-01-19
135,3,NULL,NULL,147,700,1194.9,2019-03-12
136,2,NULL,NULL,357,NULL,312.51,2015-02-20
137,1,NULL,36,885,NULL,2787.17,2017-09-04
138,2,NULL,NULL,1860,NULL,935.23,2023-06-02
139,1,NULL,937,1380,NULL,4935.96,2016-12-15
140,2,NULL,NULL,2435,NULL,147.91,2016-09-09
141,3,NULL,NULL,720,147,2071.3,2017-05-11
142,1,NULL,498,177,NULL,6276.64,2021-03-24
143,3,NULL,NULL,1817,2093,3672.27,2018-05-15
144,2,NULL,NULL,2419,NULL,211.16,2017-02-19
145,1,NULL,989,1871,NULL,3681.48,2015-11-17
146,3,NULL,NULL,229,1803,1576.18,2023-02-16
147,1,NULL,NULL,404,NULL,100.0,2020-07-01
148,2,NULL,NULL,710,NULL,74.05,2018-08-10
149,1,NULL,728,1437,NULL,2715.41,2023-02-19
150,3,NULL,NULL,326,1545,630.42,2018-02-11
151,1,NULL,1085,1522,NULL,3555.08,2016-05-27
152,1,NULL,1167,745,NULL,1868.2,2017-11-20
153,1,NULL,50,1750,NULL,3034.66,2022-07-01
154,1,NULL,NULL,469,NULL,881.22,2023-08-29
155,4,19700,NULL,2370,NULL,2619.16,2025-02-01
156,1,NULL,757,2216,NULL,3028.65,2022-08-02
157,2,NULL,393,246,NULL,346.69,2019-11-01
158,2,NULL,NULL,1783,NULL,147.64,2020-07-10
159,2,NULL,NULL,2375,NULL,144.94,2015-03-21
160,2,NULL,NULL,1400,NULL,173.03,2018-12-01
161,2,NULL,NULL,1511,NULL,170.83,2019-03-10
162,3,NULL,NULL,1727,1774,398.92,2017-02-10
163,1,NULL,644,2324,NULL,2886.39,2022-08-01
164,1,NULL,1167,128,NULL,1900.74,2022-08-14
165,3,NULL,NULL,838,1057,2012.05,2022-08-17
166,3,NULL,NULL,955,247,1103.85,2022-06-17
167,4,21739,NULL,1933,NULL,667.48,2034-12-10
168,2,NULL,NULL,721,NULL,20.0,2018-08-11
169,2,NULL,NULL,2413,NULL,68.54,2018-02-16
170,3,NULL,577,2174,888,2316.11,2021-02-10
171,2,NULL,126,1521,NULL,66.61,2016-01-02
172,1,NULL,1036,759,NULL,3052.19,2022-12-22
173,2,NULL,NULL,1297,NULL,191.9,2016-12-02
174,4,5302,850,420,NULL,297.49,2037-01-18
175,2,NULL,NULL,1586,NULL,408.3,2021-03-19
176,4,25395,1166,1821,NULL,150.33,2020-12-25
177,4,12347,NULL,86,NULL,323.7,2037-10-24
178,3,NULL,667,2431,365,1345.3,2015-09-19
179,3,NULL,NULL,1093,2450,1496.74,2015-08-14
180,2,NULL,NULL,41,NULL,163.21,2017-12-29
181,2,NULL,NULL,1950,NULL,267.5,2016-08-13
182,4,13833,NULL,1923,NULL,5203.12,2019-05-15
183,1,NULL,770,1959,NULL,2741.31,2019-06-20
184,3,NULL,NULL,795,777,874.95,2019-09-15
185,1,NULL,247,1907,NULL,3500.68,2016-03-28
186,1,NULL,696,844,NULL,2538.98,2015-02-07
187,3,NULL,NULL,1814,521,693.99,2018-12-16
188,4,13623,NULL,2047,NULL,291.26,2032-10-21
189,2,NULL,NULL,711,NULL,145.77,2020-08-01
190,1,NULL,715,495,NULL,3949.88,2020-10-01
191,2,NULL,NULL,465,NULL,962.83,2016-01-09
192,2,NULL,NULL,1940,NULL,454.57,2020-01-25
193,2,NULL,650,2064,NULL,960.62,2018-08-31
194,1,NULL,NULL,1631,NULL,410.71,2015-02-01
195,1,NULL,559,1756,NULL,3186.87,2016-02-23
196,4,16250,NULL,1516,NULL,303.19,2025-06-05
197,2,NULL,NULL,1389,NULL,522.61,2017-01-13
198,1,NULL,234,693,NULL,2766.01,2019-11-03
199,2,NULL,NULL,593,NULL,983.39,2021-05-07
200,2,NULL,47,1572,NULL,200.99,2020-05-17
201,1,NULL,NULL,2100,NULL,100.0,2022-10-13
202,3,NULL,NULL,431,1360,1572.75,2018-02-15
203,4,1414,680,2362,NULL,505.04,2041-06-04
204,3,NULL,NULL,896,1277,50.0,2015-01-20
205,1,NULL,863,2016,NULL,3193.82,2019-11-13
206,4,10631,NULL,1638,NULL,286.2,2022-03-23
207,4,25146,NULL,84,NULL,210.6,2024-09-25
208,4,21870,NULL,2425,NULL,356.93,2020-12-23
209,3,NULL,NULL,1441,550,830.86,2017-03-15
210,4,9692,NULL,512,NULL,459.69,2020-04-04
211,1,NULL,728,2157,NULL,3022.4,2015-03-11
212,1,NULL,1111,1218,NULL,100.0,2022-12-01
213,2,NULL,NULL,2184,NULL,156.09,2023-07-21
214,2,NULL,670,187,NULL,20.0,2019-06-07
215,2,NULL,NULL,360,NULL,140.92,2016-03-12
216,2,NULL,NULL,662,NULL,229.08,2022-01-07
217,3,NULL,NULL,869,236,931.29,2017-11-13
218,1,NULL,706,2303,NULL,2829.03,2015-02-19
219,1,NULL,385,1565,NULL,4716.23,2022-06-07
220,3,NULL,NULL,1457,1132,1692.59,2021-09-16
221,1,NULL,NULL,1284,NULL,100.0,2019-11-14
222,4,25139,NULL,1248,NULL,210.6,2024-03-02
223,1,NULL,NULL,1058,NULL,100.0,2020-06-13
224,1,NULL,NULL,1713,NULL,614.33,2020-07-12
225,1,NULL,902,1466,NULL,2717.26,2021-01-03
226,4,10150,NULL,1044,NULL,534.41,2039-12-31
227,2,NULL,NULL,1260,NULL,241.17,2015-05-10
228,2,NULL,NULL,1504,NULL,828.24,2016-11-13
229,1,NULL,428,13,NULL,1946.1,2016-07-01
230,2,NULL,NULL,219,NULL,914.83,2015-04-24
231,3,NULL,NULL,2261,2192,1500.02,2022-10-14
232,3,NULL,829,2409,1705,50.0,2016-08-20
233,1,NULL,NULL,620,NULL,669.53,2023-12-06
234,2,NULL,234,268,NULL,217.6,2021-12-10
235,4,11945,NULL,2437,NULL,1661.72,2022-10-12
236,2,NULL,NULL,2040,NULL,245.3,2020-06-26
237,1,NULL,1107,2255,NULL,5947.06,2022-01-01
238,4,3815,NULL,1207,NULL,711.66,2022-07-21
239,3,NULL,NULL,262,173,1930.15,2023-06-18
240,1,NULL,691,1645,NULL,1328.96,2018-11-15
241,1,NULL,248,545,NULL,3564.93,2021-05-15
242,4,13329,944,1584,NULL,164.05,2036-04-05
243,1,NULL,757,395,NULL,4641.34,2015-12-01
244,1,NULL,577,253,NULL,3301.13,2015-08-02
245,1,NULL,1107,2459,NULL,1013.83,2020-07-26
246,1,NULL,384,1161,NULL,3519.54,2018-04-27
247,2,NULL,NULL,929,NULL,184.27,2016-09-16
248,1,NULL,890,39,NULL,2010.97,2016-11-14
249,2,NULL,1074,79,NULL,74.44,2020-12-25
250,3,NULL,NULL,884,1464,1074.82,2015-05-19
251,3,NULL,NULL,1311,1960,2518.04,2017-03-11
252,1,NULL,232,550,NULL,3762.55,2017-01-28
253,3,NULL,NULL,1628,99,958.76,2022-07-10
254,2,NULL,NULL,1180,NULL,20.0,2022-07-17
255,1,NULL,229,2085,NULL,1456.29,2021-08-15
256,3,NULL,163,1856,381,2865.37,2019-08-12
257,4,11707,NULL,320,NULL,2077.17,2019-11-09
258,2,NULL,236,2206,NULL,20.0,2018-04-27
259,1,NULL,757,403,NULL,3391.73,2022-11-22
260,1,NULL,NULL,1033,NULL,100.0,2020-09-11
261,2,NULL,NULL,547,NULL,403.39,2016-05-27
262,2,NULL,NULL,2213,NULL,485.92,2020-08-28
263,1,NULL,639,2036,NULL,2138.77,2018-08-25
264,1,NULL,578,2102,NULL,1770.87,2016-06-12
265,2,NULL,NULL,619,NULL,721.99,2015-08-01
266,4,2591,768,1218,NULL,666.92,2025-05-28
267,2,NULL,NULL,246,NULL,629.44,2015-10-04
268,1,NULL,163,73,NULL,4516.96,2017-06-15
269,2,NULL,NULL,1781,NULL,412.76,2022-04-22
270,2,NULL,NULL,761,NULL,173.08,2022-05-14
271,3,NULL,NULL,747,900,223.56,2022-07-12
272,1,NULL,NULL,988,NULL,100.0,2015-07-06
273,2,NULL,696,1704,NULL,106.4,2016-03-18
274,2,NULL,NULL,1571,NULL,109.5,2015-12-04
275,2,NULL,224,1194,NULL,776.94,2017-09-29
276,4,2944,NULL,472,NULL,165.05,2031-07-10
277,1,NULL,1194,1495,NULL,2445.77,2017-04-22
278,2,NULL,NULL,2382,NULL,51.75,2022-06-17
279,3,NULL,677,1164,785,800.66,2021-05-16
280,1,NULL,897,2393,NULL,2642.72,2016-03-04
281,1,NULL,650,2264,NULL,1882.23,2017-03-03
282,2,NULL,NULL,1519,NULL,102.32,2020-05-03
283,2,NULL,NULL,19,NULL,289.45,2019-08-18
284,2,NULL,984,1164,NULL,121.1,2020-11-27
285,2,NULL,184,2047,NULL,97.92,2017-09-15
286,2,NULL,902,1439,NULL,174.53,2023-11-17
287,3,NULL,NULL,2392,645,627.02,2019-02-15
288,4,24679,NULL,324,NULL,328.85,2023-03-11
289,2,NULL,103,403,NULL,187.33,2018-07-20
290,2,NULL,NULL,1820,NULL,297.6,2016-02-12
291,2,NULL,986,1818,NULL,895.93,2019-11-08
292,2,NULL,NULL,1211,NULL,255.04,2022-02-25
293,3,NULL,NULL,1699,1455,771.64,2020-01-20
294,3,NULL,NULL,81,535,1712.15,2018-06-11
295,3,NULL,1111,2343,419,2633.23,2020-07-19
296,1,NULL,829,1158,NULL,5222.44,2017-09-10
297,3,NULL,NULL,807,1057,50.0,2018-11-17
298,3,NULL,NULL,2430,1873,2352.15,2021-05-10
299,3,NULL,NULL,1514,2052,2622.85,2022-04-15
300,3,NULL,NULL,934,390,50.0,2021-02-14
301,1,NULL,NULL,1153,NULL,428.22,2021-12-25
302,2,NULL,NULL,154,NULL,94.58,2015-08-08
303,1,NULL,NULL,1566,NULL,294.33,2015-02-05
304,1,NULL,229,880,NULL,1861.89,2018-09-20
305,1,NULL,384,1884,NULL,1067.57,2023-12-18
306,3,NULL,NULL,139,349,2607.18,2020-10-17
307,4,9951,492,101,NULL,534.41,2023-08-30
308,2,NULL,NULL,1208,NULL,256.71,2019-12-27
309,1,NULL,498,1107,NULL,174.08,2023-08-15
310,1,NULL,1016,676,NULL,3660.41,2018-05-19
311,1,NULL,975,260,NULL,3122.79,2019-09-09
312,2,NULL,NULL,1078,NULL,497.18,2018-09-01
313,3,NULL,NULL,2140,755,1303.43,2018-11-17
314,2,NULL,NULL,1733,NULL,157.15,2022-06-11
315,3,NULL,NULL,1621,1673,1479.92,2021-12-12
316,1,NULL,965,1249,NULL,4506.36,2018-07-08
317,3,NULL,1113,311,368,1489.33,2019-03-13
318,1,NULL,667,722,NULL,2962.91,2019-05-15
319,2,NULL,NULL,2308,NULL,419.12,2015-09-19
320,1,NULL,545,1803,NULL,2355.18,2015-07-15
321,3,NULL,960,1453,782,855.4,2017-03-13
322,3,NULL,NULL,240,621,1769.36,2020-07-15
323,1,NULL,179,2363,NULL,2060.21,2016-07-01
324,4,20766,266,1952,NULL,403.9,2022-06-28
325,1,NULL,NULL,2441,NULL,124.91,2015-10-15
326,4,1166,NULL,1272,NULL,418.71,2021-10-25
327,3,NULL,NULL,1377,2327,966.51,2019-11-11
328,3,NULL,NULL,293,397,1399.3,2015-03-20
329,1,NULL,944,1718,NULL,6327.67,2021-05-01
330,4,6935,NULL,984,NULL,306.17,2024-01-26
331,1,NULL,696,1607,NULL,2363.42,2016-04-14
332,1,NULL,428,2310,NULL,7251.22,2020-05-15
333,2,NULL,577,1390,NULL,85.59,2017-06-25
334,3,NULL,NULL,1188,187,1114.1,2022-09-17
335,4,13826,103,2489,NULL,5203.12,2018-10-20
336,1,NULL,20,770,NULL,3224.83,2016-10-15
337,2,NULL,NULL,1316,NULL,608.21,2016-08-26
338,3,NULL,NULL,1683,902,50.0,2022-12-18
339,2,NULL,NULL,2125,NULL,419.01,2015-05-01
340,3,NULL,NULL,734,357,1050.56,2020-02-13
341,1,NULL,1193,587,NULL,4176.56,2022-05-01
342,1,NULL,715,1392,NULL,2081.82,2017-04-22
343,1,NULL,1167,873,NULL,1866.3,2022-01-01
344,3,NULL,NULL,700,1493,1806.16,2016-10-16
345,4,10807,NULL,1329,NULL,4725.32,2019-04-18
346,2,NULL,NULL,412,NULL,142.39,2022-08-19
347,2,NULL,NULL,1917,NULL,29.87,2015-10-30
348,1,NULL,880,1049,NULL,5631.66,2020-12-18
349,4,12960,NULL,109,NULL,242.06,2022-05-03
350,3,NULL,NULL,933,2352,1577.86,2021-09-17
351,2,NULL,NULL,2486,NULL,785.71,2016-11-06
352,2,NULL,NULL,596,NULL,683.06,2018-07-13
353,1,NULL,NULL,611,NULL,100.0,2017-10-28
354,2,NULL,NULL,1115,NULL,710.93,2020-04-24
355,2,NULL,NULL,901,NULL,342.75,2023-01-06
356,1,NULL,691,1449,NULL,3293.59,2022-06-11
357,4,18387,NULL,752,NULL,738.27,2033-04-04
358,4,5024,715,139,NULL,638.17,2036-07-31
359,2,NULL,NULL,1424,NULL,234.72,2017-05-26
360,2,NULL,NULL,1432,NULL,141.28,2018-08-05
361,3,NULL,761,1251,1796,529.86,2018-02-13
362,3,NULL,NULL,940,1409,1529.83,2017-10-20
363,2,NULL,NULL,2180,NULL,66.58,2015-01-03
364,2,NULL,NULL,1726,NULL,246.58,2018-06-01
365,3,NULL,NULL,2427,494,694.66,2016-11-17
366,2,NULL,NULL,2408,NULL,202.72,2015-10-18
367,2,NULL,NULL,1976,NULL,136.29,2021-12-10
368,2,NULL,NULL,239,NULL,438.18,2019-03-23
369,1,NULL,850,1688,NULL,1982.75,2018-06-15
370,1,NULL,189,2030,NULL,1294.54,2020-10-15
371,1,NULL,706,1679,NULL,4721.02,2022-02-07
372,3,NULL,1016,2442,1067,884.99,2016-10-12
373,2,NULL,NULL,1630,NULL,24.22,2023-01-01
374,1,NULL,1020,1969,NULL,2652.8,2018-07-05
375,1,NULL,989,1504,NULL,5606.54,2020-11-11
376,2,NULL,NULL,183,NULL,283.38,2016-10-07
377,2,NULL,1020,274,NULL,333.25,2019-07-13
378,4,24787,NULL,2387,NULL,328.85,2032-01-24
379,1,NULL,NULL,999,NULL,295.15,2022-11-10
380,2,NULL,NULL,257,NULL,292.28,2015-11-22
381,3,NULL,NULL,2088,1029,1487.42,2019-07-20
382,4,3640,NULL,624,NULL,75.69,2028-05-19
383,3,NULL,NULL,795,353,2847.79,2021-04-15
384,1,NULL,1081,2057,NULL,3128.58,2023-07-30
385,1,NULL,578,2373,NULL,100.0,2017-07-15
386,4,22478,NULL,74,NULL,51.35,2022-07-18
387,4,7436,NULL,1864,NULL,209.45,2037-03-21
388,3,NULL,NULL,452,2368,1215.17,2021-04-18
389,1,NULL,1168,1875,NULL,2801.91,2015-08-15
390,1,NULL,1145,656,NULL,3393.72,2017-05-15
391,2,NULL,NULL,127,NULL,196.42,2019-07-26
392,1,NULL,306,1214,NULL,702.85,2020-06-28
393,2,NULL,NULL,894,NULL,557.73,2017-12-09
394,2,NULL,NULL,1165,NULL,47.35,2017-09-29
395,1,NULL,709,1844,NULL,1152.64,2019-04-20
396,1,NULL,266,2237,NULL,1828.27,2017-04-05
397,4,6527,NULL,521,NULL,574.02,2040-10-03
398,4,9594,NULL,266,NULL,1259.78,2029-03-25
399,2,NULL,NULL,666,NULL,729.65,2015-01-16
400,1,NULL,47,390,NULL,2007.58,2016-01-04
401,1,NULL,937,1059,NULL,1578.46,2020-06-19
402,2,NULL,NULL,806,NULL,87.54,2019-12-27
403,2,NULL,NULL,994,NULL,56.41,2015-07-31
404,2,NULL,NULL,1443,NULL,20.0,2015-09-11
405,1,NULL,637,879,NULL,5378.06,2019-01-27
406,2,NULL,NULL,1747,NULL,61.96,2016-07-08
407,2,NULL,NULL,2074,NULL,98.61,2015-10-30
408,2,NULL,128,254,NULL,124.41,2019-11-08
409,2,NULL,1088,672,NULL,1085.44,2019-05-17
410,1,NULL,775,1451,NULL,3231.27,2020-11-13
411,4,15337,NULL,1899,NULL,138.77,2023-09-05
412,2,NULL,235,1626,NULL,109.9,2017-02-19
413,2,NULL,874,2248,NULL,778.92,2022-07-03
414,2,NULL,NULL,2192,NULL,208.17,2019-11-29
415,3,NULL,NULL,1935,835,2310.57,2023-04-16
416,2,NULL,NULL,2363,NULL,184.56,2021-03-19
417,4,16871,1113,1883,NULL,576.87,2038-07-21
418,2,NULL,NULL,2135,NULL,644.21,2015-07-24
419,2,NULL,NULL,157,NULL,229.62,2021-09-26
420,4,8254,NULL,2240,NULL,381.29,2032-07-28
421,2,NULL,NULL,1525,NULL,290.94,2019-05-31
422,2,NULL,NULL,1297,NULL,43.98,2018-10-26
423,2,NULL,NULL,969,NULL,633.58,2020-11-06
424,2,NULL,NULL,2217,NULL,50.61,2015-12-04
425,3,NULL,NULL,1612,1161,2220.09,2015-07-16
426,3,NULL,25,33,2430,2417.26,2020-08-14
427,4,23132,NULL,927,NULL,718.85,2032-01-19
428,3,NULL,NULL,2034,2304,50.0,2019-10-14
429,3,NULL,680,254,1019,1077.05,2018-11-13
430,4,798,1107,460,NULL,1617.19,2022-10-22
431,1,NULL,654,391,NULL,2437.71,2018-05-15
432,1,NULL,979,2453,NULL,399.89,2015-05-26
433,2,NULL,NULL,1351,NULL,191.9,2015-07-03
434,3,NULL,NULL,2044,1001,50.0,2016-05-15
435,1,NULL,654,473,NULL,2927.01,2020-05-18
436,1,NULL,40,782,NULL,2991.02,2016-07-28
437,1,NULL,NULL,354,NULL,897.04,2020-11-04
438,1,NULL,770,1870,NULL,2193.94,2016-11-24
439,1,NULL,266,2099,NULL,2244.88,2019-05-15
440,2,NULL,NULL,841,NULL,50.91,2021-07-31
441,1,NULL,943,1210,NULL,604.91,2021-01-13
442,2,NULL,NULL,756,NULL,51.18,2016-07-16
443,3,NULL,1081,1778,429,50.0,2022-03-12
444,1,NULL,650,2016,NULL,1914.13,2021-05-26
445,3,NULL,NULL,1382,1915,2256.97,2021-06-20
446,2,NULL,545,2075,NULL,178.3,2019-05-10
447,1,NULL,NULL,2408,NULL,127.45,2020-06-03
448,1,NULL,902,814,NULL,2584.05,2022-07-21
449,2,NULL,NULL,462,NULL,294.92,2016-08-05
450,2,NULL,NULL,1554,NULL,173.3,2022-10-21
451,1,NULL,498,238,NULL,3651.83,2023-07-01
452,3,NULL,NULL,1209,44,97.18,2015-02-13
453,3,NULL,NULL,522,534,1912.66,2022-04-17
454,3,NULL,360,2345,1247,50.0,2022-07-20
455,3,NULL,NULL,1941,29,1898.5,2017-01-17
456,2,NULL,699,612,NULL,55.73,2015-09-25
457,3,NULL,NULL,2188,1340,50.0,2021-07-12
458,1,NULL,886,499,NULL,2330.4,2018-12-06
459,1,NULL,1023,2037,NULL,1230.99,2016-08-05
460,2,NULL,103,115,NULL,154.64,2020-07-24
461,1,NULL,412,1469,NULL,1472.28,2022-05-10
462,1,NULL,863,751,NULL,4753.37,2021-12-15
463,2,NULL,NULL,393,NULL,662.27,2021-02-05
464,2,NULL,NULL,313,NULL,22.76,2018-07-20
465,1,NULL,775,647,NULL,2108.92,2017-01-15
466,1,NULL,NULL,341,NULL,880.21,2023-02-15
467,1,NULL,829,241,NULL,2534.66,2021-02-06
468,2,NULL,639,2412,NULL,80.82,2018-11-02
469,3,NULL,NULL,262,1464,50.0,2016-12-19
470,3,NULL,103,1622,668,1061.53,2018-05-12
471,3,NULL,NULL,544,1457,1298.29,2023-05-18
472,4,1901,785,1907,NULL,2523.83,2023-08-25
473,1,NULL,389,1653,NULL,4806.09,2023-03-10
474,1,NULL,890,2100,NULL,100.0,2023-07-01
475,3,NULL,NULL,599,1000,640.58,2015-03-16
476,2,NULL,NULL,2422,NULL,674.97,2017-12-08
477,1,NULL,897,1294,NULL,763.84,2015-04-27
478,2,NULL,975,120,NULL,84.56,2017-04-21
479,1,NULL,NULL,1018,NULL,642.39,2015-02-01
480,2,NULL,331,432,NULL,242.68,2022-12-24
481,2,NULL,NULL,724,NULL,443.97,2018-01-05
482,2,NULL,1168,1935,NULL,428.26,2023-12-29
483,1,NULL,768,1451,NULL,6245.94,2015-01-15
